"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2025","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","AG LAND","AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","8,250",""
"SURVEY","2025","YEAR","","STATE","KENTUCKY","21","","","","","","","00000000","","AG LAND","AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","6,450",""
"SURVEY","2025","YEAR","","STATE","OHIO","39","","","","","","","00000000","","AG LAND","AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","9,750",""
"SURVEY","2025","YEAR","","STATE","TENNESSEE","47","","","","","","","00000000","","AG LAND","AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","6,050",""
"SURVEY","2024","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","AG LAND","AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","7,870",""
"SURVEY","2024","YEAR","","STATE","KENTUCKY","21","","","","","","","00000000","","AG LAND","AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","6,220",""
"SURVEY","2024","YEAR","","STATE","OHIO","39","","","","","","","00000000","","AG LAND","AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","9,270",""
"SURVEY","2024","YEAR","","STATE","TENNESSEE","47","","","","","","","00000000","","AG LAND","AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","5,610",""
"SURVEY","2023","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","AG LAND","AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","7,620",""
"SURVEY","2023","YEAR","","STATE","KENTUCKY","21","","","","","","","00000000","","AG LAND","AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","5,720",""
"SURVEY","2023","YEAR","","STATE","OHIO","39","","","","","","","00000000","","AG LAND","AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","8,450",""
"SURVEY","2023","YEAR","","STATE","TENNESSEE","47","","","","","","","00000000","","AG LAND","AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","5,060",""
"SURVEY","2022","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","AG LAND","AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","7,170",""
