"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2024","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FOOD COMMODITIES","FOOD COMMODITIES - INDEX FOR PRICE RECEIVED, 2011","TOTAL","NOT SPECIFIED","134.8",""
"SURVEY","2023","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FOOD COMMODITIES","FOOD COMMODITIES - INDEX FOR PRICE RECEIVED, 2011","TOTAL","NOT SPECIFIED","127.4",""
"SURVEY","2022","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FOOD COMMODITIES","FOOD COMMODITIES - INDEX FOR PRICE RECEIVED, 2011","TOTAL","NOT SPECIFIED","137.3",""
"SURVEY","2021","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FOOD COMMODITIES","FOOD COMMODITIES - INDEX FOR PRICE RECEIVED, 2011","TOTAL","NOT SPECIFIED","110.9",""
"SURVEY","2020","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FOOD COMMODITIES","FOOD COMMODITIES - INDEX FOR PRICE RECEIVED, 2011","TOTAL","NOT SPECIFIED","97.2",""
"SURVEY","2019","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FOOD COMMODITIES","FOOD COMMODITIES - INDEX FOR PRICE RECEIVED, 2011","TOTAL","NOT SPECIFIED","94.7",""
"SURVEY","2018","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FOOD COMMODITIES","FOOD COMMODITIES - INDEX FOR PRICE RECEIVED, 2011","TOTAL","NOT SPECIFIED","94",""
"SURVEY","2017","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FOOD COMMODITIES","FOOD COMMODITIES - INDEX FOR PRICE RECEIVED, 2011","TOTAL","NOT SPECIFIED","99.5",""
"SURVEY","2016","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FOOD COMMODITIES","FOOD COMMODITIES - INDEX FOR PRICE RECEIVED, 2011","TOTAL","NOT SPECIFIED","95.3",""
"SURVEY","2015","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FOOD COMMODITIES","FOOD COMMODITIES - INDEX FOR PRICE RECEIVED, 2011","TOTAL","NOT SPECIFIED","107.3",""
